Parameter,Publication,Method,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Demand elasticity to price,"Gupta (1982), a",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.25,11,1960-1974,For France,
Demand elasticity to price,"Gupta (1982), b",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.035,15,1956-1974,For Japan,
Demand elasticity to price,"Gupta (1982), c",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.077,15,1956-1974,For United Kingdom,
Demand elasticity to price,"Gupta (1982), d",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.78,15,1956-1974,For West Germany,
Demand elasticity to price,"Gupta (1982), e",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.005,15,1956-1974,For rest of world (high income),
Demand elasticity to price,"Gupta (1982), f",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.443,15,1956-1974,For rest of world (low income),
Demand elasticity to price,"Chhabra (1979), a","Ordinary least squares, short run",,,,,,,,-0.24,,15,1955-1975,"For USA, tinplate uses (non-tinplate uses were statistically insignificant)",
Demand elasticity to price,"Chhabra (1979), b","Ordinary least squares, short run",,,,,,,,-0.3,,17,1955-1975,"For Western Europe, non-tinplate uses (tinplate uses were statistically insignificant)",
Demand elasticity to price,"Chhabra (1979), c","Ordinary least squares, short run",,,,,,,,-0.49,,17,1955-1975,"For Japan, non-tinplate uses (tinplate uses were statistically insignificant)",
Demand elasticity to price,"Banks (1972), a","Ordinary least squares, short run",,,,,,,,-0.55,,11,1953-1968,US,
Demand elasticity to price,"Banks (1972), b","Ordinary least squares, long run",,,,,,,,-1.262,,11,1953-1968,US,
Demand elasticity to price,"Banks (1974), a","Ordinary least squares, short run",,,-0.177,,,,,,,12,1953-1968,UK,
Demand elasticity to price,"Banks (1974), b","Ordinary least squares, short run",,,-0.127,,,,,,,12,1953-1968,Germany,
Demand elasticity to price,"Banks (1974), c","Ordinary least squares, short run",,,-0.152,,,,,,,12,1953-1968,France,
Demand elasticity to price,"Banks (1974), d","Ordinary least squares, long run",,,-0.294,,,,,,,11,1953-1968,US,
Demand elasticity to price,"Banks (1974), e","Ordinary least squares, long run",,,-0.29,,,,,,,12,1953-1968,UK,
Demand elasticity to price,"Banks (1974), f","Ordinary least squares, long run",,,-0.228,,,,,,,12,1953-1968,Germany,
Demand elasticity to price,"Banks (1974), g","Ordinary least squares, long run",,,-0.21,,,,,,,12,1953-1968,France,
Demand elasticity to price,Charles River Associates (1970),Unknown,,,-0.21,,,,,,,Unknown,1950-1967,As referenced in Dahl 2019,
Demand elasticity to price,Charles River Associates (1971),Unknown,,-0.2,,,,,,,,Unknown,Unknown,As referenced in Dahl 2019,
Demand elasticity to price,"Hashimoto (1981), a",Ordinary least squares,-0.93,,,,,,,,,9,1954-1976,US,
Demand elasticity to price,"Hashimoto (1981), b",Ordinary least squares,-1,,,,,,,,,9,1954-1976,Japan,
Demand elasticity to price,"Hashimoto (1981), c",Ordinary least squares,-0.325,,,,,,,,,9,1954-1976,Europe,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.1,,,,,,,11,2000-2015,Construction,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.05,,,,,,,11,2000-2015,Electrical,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.08,,,,,,,11,2000-2015,Industrial,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,0,,,,,,,11,2000-2015,Transportation,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.12,,,,,,,11,2000-2015,Consumer and others,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.17,,,,,,,11,2000-2015,China,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.02,,,,,,,11,2000-2015,EU,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,0.02,,,,,,,11,2000-2015,Japan,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.16,,,,,,,11,2000-2015,North America,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.07,,,,,,,11,2000-2015,Rest of World,
Demand elasticity to GDP,"Fernandez (2018), a",OLS with instrumental variable mine supply,1.201,1.134,1.241,,2.746,1.272,,1.319,0.885,23,1990-2015,Lead was not statistically significant,
Demand elasticity to GDP,"Fernandez (2018), b",SUR with instrumental variable mine supply,1.156,1.291,1.101,,1.173,0.945,,0.899,0.839,161,1990-2015,,
Demand elasticity to GDP,"Fernandez (2018), c",OLS short-run specification,1.036,1.031,0.686,,0.472,1.239,,1.002,0.912,52,1960-2015,,
Demand elasticity to GDP,"Fernandez (2018), d",SUR short-run specification,1.026,1.06,0.737,,0.484,1.265,,1.04,0.936,364,1960-2015,"zeros indicate lack of statistical significance at the !0% level, while blanks indicate the commodity was not included in the study",
Demand elasticity to GDP,"Fernandez (2018), e",OLS long-run specification,1.03,1.04,0.684,,0.445,1.231,,1.097,0.897,50,1960-2015,,
Demand elasticity to GDP,"Fernandez (2018), f",SUR long-run specification,1.026,1.065,0.71,,0.438,1.253,,1.117,0.886,350,1960-2015,,
Demand elasticity to GDP,"Pei and Tilton (1999), a","Partial adjustment model, high income countries",,2.21,1.31,,0.67,1.88,,1.74,1.79,25,1963-1992,,
Demand elasticity to GDP,"Pei and Tilton (1999), b","Partial adjustment model, low income countries",,0.878,0.006,,0.465,1.156,,0.548,-0.995,25,1963-1992,,
Demand elasticity to GDP,Tcha and Takashina (2002),Divisia moments,1.03,0.848,0.846,,0.647,1.286,,0.911,0.945,30,1960-1993,,
Demand elasticity to GDP,Evans and Lewis (2005),"Instrumental variables empirical Bayes, long-run",0.2807,1.0381,0.7749,,0.0994,0.7334,,-0.0018,0.6779,25,1969-1999,Iron ore is used for steel here,
Demand elasticity to GDP,Stuermer (2017),"Autoregressive distributed lag, long-run",,1.655,1.102,,0.67,,,0.595,0.923,1086,1840-2010,Industrial production index is used rather than GDP here,
Demand elasticity to GDP,Fisher and Owen (1981),Three stage least squares,,1.2827,,,,,,,,13,1960-1978,Industrial production index is used rather than GDP here,
Intensity elasticity to GDP,Fu (2019),Bayesian regression,,,0.69,,,,,,,11,2000-2015,,
Demand elasticity to time,"Pei and Tilton (1999), a","Partial adjustment model, high income countries",,-0.03,-0.04,,-0.01,-0.03,,-0.06,-0.04,25,1963-1992,,
Demand elasticity to time,"Pei and Tilton (1999), b","Partial adjustment model, low income countries",,0.152,0.097,,0.042,0.001,,0.001,0.02,25,1963-1992,,
Demand elasticity to time,Stuermer (2017),"Autoregressive distributed lag, long-run",,-0.008,-0.004,,-0.005,,,-0.001,-0.003,1086,1840-2010,Industrial production index is used rather than GDP here,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.06,,,,,,,11,2000-2015,Construction,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.1,,,,,,,11,2000-2015,Electrical,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.09,,,,,,,11,2000-2015,Industrial,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.02,,,,,,,11,2000-2015,Transportation,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.08,,,,,,,11,2000-2015,Consumer and others,
Collection elasticity to refined price,Fu et al. (2017),"Autoregressive distributed lag, long-run",,,0.001,,,,,,,33,1972-2012,Use the difference between current price and its five-year average,
Collection elasticity to refined price,Hewitt et al. (2015),Ordinary least squares,,,,0.6,,,,,,29,1980-1012,"Boston Consulting Group and World Gold Council, actual regressors included are unknown and degrees of freedom estimated from other values listed as influencing the price. Regression method not given, assumed ordinary least squares.",
Collection elasticity to refined price,"Fisher (1972), a","Two stage least squares, short run",,,0.43,,,,,,,19,1947-1968,USA,
Collection elasticity to refined price,"Fisher (1972), b","Two stage least squares, long run",,,0.31,,,,,,,19,1947-1968,USA,
Collection elasticity to scrap price,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,0.17,,,,,,,,55,1983-1997,"Four countries (Germany, France, Italy, and UK)",
Collection elasticity to scrap price,Fisher and Owen (1981),Three stage least squares,,0.9207,,,,,,,,13,1960-1978,,
Collection elasticity to scrap price,Zink et al. (2018),"Two stage least squares, long run",,0.174,,,,,,,,35,1971-2013,,
Collection elasticity to scrap price,Carlsen (1980),Two stage least squares,,0.32,,,,,,,,18,1954-1976,,
Collection elasticity to scrap price,Slade (1980a),Ordinary least squares,,0.24,,,,,,,,19,1954-1976,,
Collection elasticity to scrap price,Suslow (1986),Ordinary least squares,,1.96,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Collection elasticity to scrap price,US EPA (1998),Two stage least squares,,2.33,,,,,,,,6,1975-1993,,
Collection elasticity to scrap price,Grant (1999),Nonlinear least squares,,0.6,,,,,,,,15,1923-1940,Hard to tell how many regressors were actually used,
Collection elasticity to scrap price,Blomberg (2007),Two stage least squares,,,,,,,,,,50,1983-1997,"Four countries (Germany, France, Italy, UK)",
Collection elasticity to scrap price,Blomberg and Soderholm (2009),Two stage least squares,,0.21,,,,,,,,63,1983-2000,"Four countries (Germany, France, Italy, UK)",
Collection elasticity to scrap price,"Gomez (2007), a","Ridge regression, short run",,,0.201,,,,,,,45,1966-2005,,
Collection elasticity to scrap price,"Gomez (2007), b","Ridge regression, long run",,,0.272,,,,,,,45,1966-2005,,
Collection elasticity to scrap price,Slade (1980b),"Two stage least squares, short run",,,0.28,,,,,,,9,1954-1976,,
Collection elasticity to scrap price,Vial (1988),"Ordinary least squares, short run",,,0.33,,,,,,,21,1961-1984,,
Collection elasticity to scrap price,Vial (1988),"Ordinary least squares, long run",,,0.26,,,,,,,21,1961-1984,,
Collection elasticity to scrap price,Intarapravich (1989),Unknown,,,0.075,,,,,,,,,"As referenced in Gomez (2007), dissertation not immediately available",
Collection elasticity to scrap price,Vial (2004),Unknown,,,0.2,,,,,,,,,"As referenced in Gomez (2007), working paper not immediately available",
Collection elasticity to scrap price,Vial (2004),Unknown,,,0.11,,,,,,,,,"As referenced in Gomez (2007), working paper not immediately available",
Collection elasticity to scrap price,Valencia (2005),"Three stage least squares, short run",,,0.32,,,,,,,14,1971-1998,,
Collection elasticity to scrap price,Valencia (2005),"Three stage least squares, long run",,,0.31,,,,,,,14,1971-1998,,
Collection elasticity to scrap price,Gupta (1982),OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.65,15,1956-1974,For US old scrap,
Collection elasticity to scrap price,"Damuth (2011), a",Two stage least squares,0.589,,,,,,,,,94,1985-2009,"All scrap, includes old and new, quarterly data",
Collection elasticity to scrap price,"Damuth (2011), b",Two stage least squares,0.885,,,,,,,,,94,1985-2009,"Old scrap only, quarterly data",
Collection elasticity to scrap price,"Damuth (1979), a",Two stage least squares,0.365,,,,,,,,,58,1961-1976,"All scrap, includes old and new, quarterly data, as cited in Damuth (2011)",
Collection elasticity to scrap price,"Damuth (1979), b",Two stage least squares,0.833,,,,,,,,,58,1961-1976,"Old scrap, quarterly data, as cited in Damuth (2011)",
Direct melt fraction elasticity to scrap spread,Zink et al. (2018),"Two stage least squares, long run",,0.191,,,,,,,,35,1971-2013,,
Direct melt fraction elasticity to scrap spread,Suslow (1986),Ordinary least squares,,1.08,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Scrap demand elasticity to secondary price,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,0.07,,,,,,,,57,1983-1997,"Four countries (Germany, France, Italy, and UK)",
Scrap demand elasticity to secondary price,Zink et al. (2018),"Two stage least squares, long run",,-0.532,,,,,,,,35,1971-2013,,
Scrap demand elasticity to secondary price,Suslow (1986),Ordinary least squares,,-0.88,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Scrap demand elasticity to secondary price,US EPA (1998),Two stage least squares,,-0.34,,,,,,,,13,1975-1993,,
Scrap demand elasticity to secondary price,Damuth (2011),Two stage least squares,-0.036,,,,,,,,,94,1985-2009,"All scrap, includes old and new, quarterly data",
Scrap demand elasticity to secondary price,Damuth (2011),Two stage least squares,-0.03,,,,,,,,,94,1985-2009,"Old scrap only, quarterly data",
Scrap price elasticity to scrap SD,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,-3,,,,,,,,55,1983-1997,"Four countries (Germany, France, Italy, and UK). This value was given without any other information in the text of the article, so the degrees of freedom number is an estimate based on their scrap supply regression. There is no information about statistical significance provided.",
Mine CU elasticity to TCM,Zink et al. (2018),"Two stage least squares, long run",,0.425,,,,,,,,35,1971-2013,,
Mine CU elasticity to TCM,Slade (1980a),Ordinary least squares,,-0.25,,,,,,,,19,1954-1976,,
Mine CU elasticity to TCM,Hojman (1981),Ordinary least squares,,0.05,,,,,,,,8,1965-1977,,
Mine CU elasticity to TCM,Deadman and Grace (1979),Ordinary least squares,,0.23,,,,,,,,7,1966-1974,"For the UK only, type of regression not specified in the text so ordinary least squares was assumed",
Mine CU elasticity to TCM,Rockerbie (1999),Generalized method of moments,,,,0.492,,,,,,17,1970-1995,For South Africa,
Mine CU elasticity to TCM,"Selvanathan (1999), a","Autoregressive distributed lag, short run",,,,0.03,,,,,,39,1948-1994,For Western Australia,
Mine CU elasticity to TCM,"Selvanathan (1999), b","Autoregressive distributed lag, long run",,,,1.237,,,,,,39,1948-1994,For Western Australia,
Mine CU elasticity to TCM,"Guzman-Soria (2019), a","Simultaneous equation model, short run",0.0425,,,,,,,,,19,1980-2017,For Mexico steel production,
Mine CU elasticity to TCM,"Guzman-Soria (2019), b","Simultaneous equation model, long run",0.2419,,,,,,,,,19,1980-2017,For Mexico steel production,
Mine CU elasticity to TCM,"Priovolos (1987), a",Unknown,0.49,,,,,,,,,Unknown,1960-1984,For Canada iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), b",Unknown,0.27,,,,,,,,,Unknown,1960-1984,For Spain iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), c",Unknown,0.11,,,,,,,,,Unknown,1960-1984,For Brazil iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), d",Unknown,0.55,,,,,,,,,Unknown,1960-1984,For Australia iron ore production,
Mine CU elasticity to TCM,"Priovolos (1987), e",Unknown,0.27,,,,,,,,,Unknown,1960-1984,For Mexico iron ore production,
Mine CU elasticity to TCM,"Labson (1995), a","Partial adjustment model, short run",0.3,,,,,,,,,17,1972-1992,For Australia iron ore production,
Mine CU elasticity to TCM,"Labson (1995), b","Partial adjustment model, short run",0.26,,,,,,,,,17,1972-1992,For Brazil iron ore production,
Mine CU elasticity to TCM,"Labson (1995), c","Partial adjustment model, short run",0.13,,,,,,,,,17,1972-1992,For China iron ore production,
Mine CU elasticity to TCM,"Labson (1995), d","Partial adjustment model, short run",0.1,,,,,,,,,17,1972-1992,For India iron ore production,
Mine CU elasticity to TCM,"Labson (1995), e","Partial adjustment model, short run",0.04,,,,,,,,,17,1972-1992,For Eastern Europe iron ore production,
Mine CU elasticity to TCM,"Labson (1995), f","Partial adjustment model, short run",0.04,,,,,,,,,17,1972-1992,For North America iron ore production,
Mine CU elasticity to TCM,"Labson (1995), g","Partial adjustment model, long run",0.43,,,,,,,,,17,1972-1992,For Australia iron ore production,
Mine CU elasticity to TCM,"Labson (1995), h","Partial adjustment model, long run",0.66,,,,,,,,,17,1972-1992,For Brazil iron ore production,
Mine CU elasticity to TCM,"Labson (1995), i","Partial adjustment model, long run",0.85,,,,,,,,,17,1972-1992,For China iron ore production,
Mine CU elasticity to TCM,"Labson (1995), j","Partial adjustment model, long run",0.72,,,,,,,,,17,1972-1992,For India iron ore production,
Mine CU elasticity to TCM,"Labson (1995), k","Partial adjustment model, long run",0.21,,,,,,,,,17,1972-1992,For Eastern Europe iron ore production,
Mine CU elasticity to TCM,"Labson (1995), l","Partial adjustment model, long run",0.04,,,,,,,,,17,1972-1992,For North America iron ore production,
Mine CU elasticity to TCM,"Gupta (1982), a",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.24,15,1956-1974,For Australia,
Mine CU elasticity to TCM,"Gupta (1982), b",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.445,15,1956-1974,For Canada,
Mine CU elasticity to TCM,"Gupta (1982), c",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.316,15,1956-1974,For Europe,
Mine CU elasticity to TCM,"Gupta (1982), d",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.284,15,1956-1974,For Mexico,
Mine CU elasticity to TCM,"Gupta (1982), e",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.617,15,1956-1974,For Peru,
Mine CU elasticity to TCM,"Gupta (1982), f",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.573,15,1956-1974,For Rest of World,
Mine CU elasticity to TCM,"Chhabra (1979), a","Ordinary least squares, short run",,,,,,,,0.31,,17,1955-1975,For Malaysia,
Mine CU elasticity to TCM,"Chhabra (1979), b","Ordinary least squares, short run",,,,,,,,0.64,,15,1955-1975,For Thailand,
Mine CU elasticity to TCM,"Chhabra (1979), c","Ordinary least squares, short run",,,,,,,,0.24,,17,1955-1975,For Bolivia,
Mine CU elasticity to TCM,"Chhabra (1979), d","Ordinary least squares, short run",,,,,,,,0.3,,17,1955-1975,For developed countries,
Mine CU elasticity to TCM,"Chhabra (1979), e","Ordinary least squares, short run",,,,,,,,1.11,,18,1955-1975,For rest of world,
Mine CU elasticity to TCM,"Chhabra (1979), f","Ordinary least squares, long run",,,,,,,,0.7,,17,1955-1975,For Malaysia,
Mine CU elasticity to TCM,"Chhabra (1979), g","Ordinary least squares, long run",,,,,,,,1.25,,15,1955-1975,For Thailand,
Mine CU elasticity to TCM,"Chhabra (1979), h","Ordinary least squares, long run",,,,,,,,1.34,,17,1955-1975,For Bolivia,
Mine CU elasticity to TCM,"Chhabra (1979), i","Ordinary least squares, long run",,,,,,,,0.7,,17,1955-1975,For developed countries,
Mine CU elasticity to TCM,"Chhabra (1979), j","Ordinary least squares, long run",,,,,,,,2.09,,18,1955-1975,For rest of world,
Mine CU elasticity to TCM,"Banks (1974), a","Ordinary least squares, short run",,,0.237,,,,,,,17,1948-1967,Canada,
Mine CU elasticity to TCM,"Banks (1974), b","Ordinary least squares, short run",,,0.289,,,,,,,17,1948-1967,Chile,
Mine CU elasticity to TCM,"Banks (1974), c","Ordinary least squares, short run",,,0.173,,,,,,,16,1948-1967,Zaire,
Mine CU elasticity to TCM,"Banks (1974), d","Ordinary least squares, short run",,,0.542,,,,,,,16,1948-1967,Peru,
Mine CU elasticity to TCM,"Banks (1974), e","Ordinary least squares, short run",,,0.31,,,,,,,16,1948-1967,US,
Mine CU elasticity to TCM,"Banks (1974), f","Ordinary least squares, long run",,,1.16,,,,,,,17,1948-1967,Canada,
Mine CU elasticity to TCM,"Banks (1974), g","Ordinary least squares, long run",,,1.22,,,,,,,17,1948-1967,Chile,
Mine CU elasticity to TCM,"Banks (1974), h","Ordinary least squares, long run",,,0.625,,,,,,,16,1948-1967,Zaire,
Mine CU elasticity to TCM,"Banks (1974), i","Ordinary least squares, long run",,,1.93,,,,,,,16,1948-1967,Peru,
Mine CU elasticity to TCM,"Banks (1974), j","Ordinary least squares, long run",,,0.63,,,,,,,16,1948-1967,US,
Mine CU elasticity to TCM,Choe (1990),"Ordinary least squares, short run",,0.117,0.116,,0.109,0.133,,0.032,0.085,23,1963-1989,,
Mine CU elasticity to TCM,Charles River Associates (1970),Unknown,,,0.34,,,,,,,14,1950-1967,,
Mine CU elasticity to TCM,"Fisher and Owen (1981), a","Three stage least squares, short run",,0.291,,,,,,,,13,1960-1978,US,
Mine CU elasticity to TCM,"Fisher and Owen (1981), b","Three stage least squares, long run",,1.502,,,,,,,,13,1960-1978,US,
Demand elasticity to price,Zink et al. (2018),"Two stage least squares, long run",,-0.202,,,,,,,,36,1971-2013,,
Demand elasticity to price,Hojman (1981),Ordinary least squares,,,,,,,,,,8,1965-1977,"Examined France, West Germany, Italy, Japan, Spain, Sweden, UK, USA, Rest of OECD, and OECD total, all as separate regressions.",
Demand elasticity to price,Suslow (1986),Ordinary least squares,,-1.93,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Demand elasticity to price,"Banks (1974), a","Ordinary least squares, short run",,,-0.252,,,,,,,11,1953-1968,UK,
Demand elasticity to price,"Banks (1974), a","Ordinary least squares, short run",,,-0.253,,,,,,,12,1953-1968,France,
Demand elasticity to price,"Banks (1974), b","Ordinary least squares, short run",,,-0.221,,,,,,,11,1953-1968,Germany,
Demand elasticity to price,"Banks (1974), c","Ordinary least squares, long run",,,-0.368,,,,,,,11,1953-1968,UK,
Demand elasticity to price,"Banks (1974), d","Ordinary least squares, long run",,,-0.421,,,,,,,12,1953-1968,France,
Demand elasticity to price,"Banks (1974), e","Ordinary least squares, long run",,,-0.328,,,,,,,11,1953-1968,Germany,
Demand elasticity to price,"Banks (1974), f","Ordinary least squares, static",,,-0.294,,,,,,,11,1953-1968,US,
Demand elasticity to price,"Banks (1974), g","Ordinary least squares, static",,,-0.39,,,,,,,13,1953-1968,Italy,
Primary demand elasticity to scrap spread,Zink et al. (2018),"Two stage least squares, long run",,-0.195,,,,,,,,36,1971-2013,,
Primary demand elasticity to scrap spread,Suslow (1986),Ordinary least squares,,-0.89,,,,,,,,9,1923-1940,Could not find specific method information but it appears least squares was used,
Mine CU elasticity to TCM,Fu (2019),"Dynamic panel regression, long run",,,0.024,,,,,,,1599,1991-2018,,
Primary refinery CU elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,0.057,,,,,,,1668,1992-2016,,
Secondary refinery CU elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,0.153,,,,,,,1155,1992-2016,,
Refinery SR elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,-0.197,,,,,,,845,1992-2016,,
Refinery SR elasticity to scrap spread,Fu (2019),"Dynamic panel regression, long run",,,0.316,,,,,,,845,1992-2016,Scrap spread is LME copper price minus No.2 copper scrap (birch) price,
Refined price elasticity to SD,Fu (2019),"Autoregressive distributed lag, long-run",,,-0.461,,,,,,,163,2005-2019,"Monthly data frequency, in linear form such that each kt increase in world copper inventory causes a 0.633 USD/t decrease in copper price, adjusted using correlation between LME inventory and global supply-demand imbalance",
Refined price elasticity to SD,"Chhabra (1979), e","Ordinary least squares, long run",,,,,,,,-0.302,,15,1955-1975,,
Refined price elasticity to demand,Choe (1990),"Ordinary least squares, short run",,3.846,3.703,,2.795,1.929,,1.308,5.45,23,1963-1989,,
Refined price elasticity to supply,Choe (1990),"Ordinary least squares, short run",,-2.817,-1.39,,-2.934,-0.925,,-0.913,-4.408,23,1963-1989,,
TCRC elasticity to SD,Fu (2019),Ordinary least squares,,,0.164,,,,,,,35,1982-2018,In linear form such that each kt increase in world concentrate inventory causes a 0.164 USD/t payable copper increase in TCRC,
Scrap spread elasticity to price,Fu (2019),"Ordinary least squares, long run",,,0.184,,,,,,,307,1995-2019,"Monthly data frequency, in linear form such that each 1 USD/t increase in copper cathode price causes a 0.184 USD/t increase in No.2 copper scrap (birch) spread",
Scrap spread elasticity to SD,Fu (2019),Estimation,,,0.0845,,,,,,,,,Product of scrap spread elasticity to primary price and price elasticity to supply-demand imbalance,
Scrap price elasticity to primary price,"Xiarchos (2009), a",Vector error correction model,,,0.397,,0.379,,,,0.08,673,1984-2000,"Not using log values, appear to be absolute, copper is 1984-2001 (df=929), lead is 1984-2000 (df=881), zinc is 1984-1996 (df=673), all using weekly price data",
Refined price elasticity to scrap price,"Xiarchos (2009), b",Vector error correction model,,,0.332,,0.011,,,,-0.109,673,1984-2000,"Not using log values, appear to be absolute, copper is 1984-2001 (df=929), lead is 1984-2000 (df=881), zinc is 1984-1996 (df=673), all using weekly price data",
Ore grade elasticity to COT distribution mean,Pustov et al. (2013),Unknown,3,,,,,,,,,,,"Cites a consulting report (Vale looks to the future and highlights the challenges, Macquarie Commodities Research) that was not immediately available",
Ore grade elasticity to COT distribution mean,Calvo et al. (2016),Calculation,,,2.3,,,,,,,,2002-2014,,
Ore grade elasticity to COT distribution mean,"This study, a","Calculation from S&P Capital IQ, 2019",,,1.53,4.91,0.51,-1.95,0.095,,1.25,,1991-2019,Simple average percent decline in mean ore grade per year (weighted using recovered metal at each mine for which data were available),
Ore grade elasticity to COT distribution mean,"This study, b","Random effects and fixed effects panel models, depending on Hausman test",,,0.65,2.55,3.48,1.16,0.91,,2.36,4041,1991-2019,"Represents the mean ore grade decline at each mine per year, rather than the mean ore grade decline of the entire commodity, degrees of freedom were: Cu=4041, Au=4042, Pb=190, Ni=981, Pt=377, Ag=721, Zn=2115. Random effects models were used for Au, Ni; all others used fixed effects based on Hausman test. Value for platinum was 2.0",
Ore grade elasticity to COT distribution mean,"This study, c","Random effects and fixed effects panel models, depending on Hausman test",,,0.098,0.29,-0.13,0.11,0.19,,0.1,4041,1991-2019,"Represents the percent ore grade decline per percent increase in cumulative ore treated, degrees of freedom were: Cu=4041, Au=4042, Pb=190, Ni=981, Pt=377, Ag=721, Zn=2115. Only copper used a random effects model based on Hausman test. Value for Pt was -0.025 (meaning increasing grade)",
