Parameter,General source,Source,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn
Intensity elasticity to GDP,Literature,"Fernandez (2018), h - demand",0.07000000000000006,-0.609,0.10000000000000009,,-0.4,0.008000000000000007,,-1.5110000000000001,-0.6619999999999999
Intensity elasticity to GDP,Literature,"Fernandez (2018), i - demand",0.052999999999999936,-0.275,-0.09799999999999998,,-0.30900000000000005,-0.495,,,-0.802
Intensity elasticity to GDP,Literature,"Fernandez (2018), j - demand",0.09800000000000009,-0.352,-0.5720000000000001,,-0.14500000000000002,-0.645,,,-0.905
Intensity elasticity to GDP,Literature,"Fernandez (2018), k - demand",0.16799999999999993,-0.899,-0.751,,-0.652,-0.619,,,-0.21399999999999997
Intensity elasticity to GDP,Literature,"Fernandez (2018), l - demand",0.262,-1.043,-1.306,,-0.84,-1.946,,,-0.5880000000000001
Intensity elasticity to GDP,Literature,"Fernandez (2018), m - demand",0.20100000000000007,0.1339999999999999,,,,,,,
Intensity elasticity to GDP,Literature,Fisher (1972) - demand,,,-0.39859999999999995,,,,,,
Intensity elasticity to GDP,Literature,Fisher (1972) - demand,,,-0.5912999999999999,,,,,,
Intensity elasticity to GDP,Literature,Fisher (1972) - demand,,,-0.007900000000000018,,,,,,
Intensity elasticity to GDP,Literature,"Fisher (1972), a - demand",,,-0.6682,,,,,,
Intensity elasticity to GDP,Literature,"Fisher (1972), b - demand",,,0.25824800910125,,,,,,
Intensity elasticity to GDP,Literature,"Fisher (1972), c - demand",,,-0.8471,,,,,,
Intensity elasticity to GDP,Literature,"Fisher (1981), a - demand",,1.2572999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"Fisher (1981), b - demand",,0.28269999999999995,,,,,,,
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,0.3549800000000001
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.09397599999999995
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.20461300000000004
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,0.04590000000000005
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.06171800000000005
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.30077299999999996
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.38681
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.16057600000000005
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.358324
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.28564999999999996
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,0.5265200000000001
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.404141
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,1.97622
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.23596899999999998
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.522026
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.5935090000000001
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.213078
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.47673
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.6413070000000001
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.0010639999999999539
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.389471
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.43970699999999996
Intensity elasticity to GDP,Literature,Gupta (1979) - demand,,,,,,,,,-0.862722
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,-0.33444799999999997
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,0.20933000000000002
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,0.3078399999999999
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,-0.580168
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,-0.16942500000000005
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,-0.18752899999999995
Intensity elasticity to GDP,Literature,Gupta (1982) - demand,,,,,,,,,-0.455164
Intensity elasticity to GDP,Literature,Hashimoto (1981) - demand,-0.31000000000000005,,,,,,,,
Intensity elasticity to GDP,Literature,Hashimoto (1981) - demand,-0.35,,,,,,,,
Intensity elasticity to GDP,Literature,Hashimoto (1981) - demand,-0.16500000000000004,,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.72,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,1.7599999999999998,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.33000000000000007,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.3600000000000001,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,1.21,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.08000000000000007,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.56,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), a - demand",,0.20999999999999996,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,-0.040000000000000036,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.96,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.29000000000000004,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.45999999999999996,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.7,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.06000000000000005,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.16999999999999993,,,,,,,
Intensity elasticity to GDP,Literature,"Hojman (1981), b - demand",,0.9099999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), a - demand",,,-0.56,,,,,,
Intensity elasticity to GDP,Literature,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), b - demand",,,0.06000000000000005,,,,,,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,1.9609999999999999,,,,1.133
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,-0.6799999999999999,,,,,-2.3369999999999997,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,0.04499999999999993,,,-0.661,,,,-0.276
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,0.20799999999999996,,0.833,,,,1.041
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,-0.597,,,,,-0.20799999999999996,-0.42700000000000005
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,-0.42400000000000004,,-0.757,0.10299999999999998,,0.08499999999999996,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,-0.671,,,,-0.347
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,1.3719999999999999,,,,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,-0.43000000000000005,,,,,,0.6240000000000001,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,-0.34099999999999997,,,-1.471,-0.515
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,1.194,,,1.213,1.186,,0.32600000000000007,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,-0.53,,,,,,0.819,0.6319999999999999
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,-0.538,,,,-0.398,,0.591,0.913
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,-0.008000000000000007,,,,,,1.158,0.41900000000000004
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,0.8600000000000001,,,-0.767,0.671,,,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,,,,,-0.821
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,0.15100000000000002,0.4119999999999999,,,,,,-0.42700000000000005
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,0.9490000000000001,,,-1.806,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,1.2269999999999999,,,,,,1.2730000000000001,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,0.1339999999999999,,,,,,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,1.0070000000000001,,,,,,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,,,,,1.165
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,-0.04200000000000004,-0.5780000000000001,,-0.267,-0.014000000000000012,,-1.308,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,0.633,1.2029999999999998,,0.913,
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,0.41900000000000004,,,1.919,,0.16399999999999992,1.509
Intensity elasticity to GDP,Literature,Pei (1999) - demand,,,,,,0.8200000000000001,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.3979999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.351,,,0.21300000000000008,1.6749999999999998,,-0.258,0.1160000000000001
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,-0.42300000000000004,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.74,,,-0.565,-0.014000000000000012,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.33299999999999996,,,,,,,-0.5329999999999999
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.19399999999999995,-0.507,,,0.8500000000000001,,-0.7,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,1.62,0.20599999999999996,,,,,,-0.20799999999999996
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,-0.243,,,-0.513,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,-0.41200000000000003,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,0.7629999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,-0.344,,,,,,0.30200000000000005
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,-0.33299999999999996,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,0.07000000000000006,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,,,-0.756,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,0.15599999999999992,,,,,,0.32899999999999996
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,,,,-0.16600000000000004,,-0.388,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,,,0.30099999999999993,,,,0.121
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,,,,0.1419999999999999,,-1.812,-0.515
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,-0.41000000000000003,,,-0.44799999999999995,,,-0.31699999999999995,-0.538
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,1.3159999999999998,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,-0.43700000000000006,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), a - demand",,,-0.722,,,,,-1.336,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,0.5780000000000001,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,0.45399999999999996,,,0.627,1.661,,0.34299999999999997,0.3380000000000001
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.0139999999999998,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.1349999999999998,,,-0.04500000000000004,0.5269999999999999,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,0.6839999999999999,,,,,,,0.7649999999999999
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.674,0.637,,,0.8200000000000001,,0.2789999999999999,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.7719999999999998,0.22999999999999998,,,,,,0.15100000000000002
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,1.08,,,1.738,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,0.946,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,0.242,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,-0.32899999999999996,,,,,,1.455
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,0.966,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,1.698,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,,,-0.73,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,-0.015000000000000013,,,,,,-0.29500000000000004
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,,,,-0.09399999999999997,,-0.38,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,,,-0.031000000000000028,,,,0.07899999999999996
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,,,,1.355,,1.7930000000000001,0.5009999999999999
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.5859999999999999,,,-0.21599999999999997,,,0.5149999999999999,1.46
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,1.3809999999999998,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,0.7809999999999999,,,,,,,
Intensity elasticity to GDP,Literature,"Pei (1999), b - demand",,,1.616,,,,,1.241,
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.09699999999999998,-0.84,-0.876,,-0.617,-0.8260000000000001,,-0.41100000000000003,-0.748
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.04800000000000004,-0.31100000000000005,-0.31499999999999995,,-0.9299999999999999,0.15599999999999992,,-0.06499999999999995,-0.474
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.06499999999999995,0.026999999999999913,-0.41300000000000003,,-0.808,0.44399999999999995,,-0.357,-0.11199999999999999
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.135,-0.719,-0.42400000000000004,,-0.546,-0.29900000000000004,,-0.838,-0.8
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.07000000000000006,-0.30300000000000005,-0.09699999999999998,,-0.9,-0.385,,-0.46199999999999997,-0.241
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.1279999999999999,-0.18100000000000005,-0.8109999999999999,,-0.8049999999999999,0.10099999999999998,,-0.46099999999999997,-0.359
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.008000000000000007,0.07000000000000006,-0.367,,0.19500000000000006,-0.391,,-0.562,-0.05800000000000005
Intensity elasticity to GDP,Literature,"Tcha (2002), a - demand",0.030000000000000027,-0.15200000000000002,-0.15400000000000003,,-0.32599999999999996,0.28600000000000003,,-0.08899999999999997,-0.05500000000000005
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.09699999999999998,-0.841,-0.875,,-0.616,-0.825,,-0.44199999999999995,-0.748
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.04200000000000004,-0.21699999999999997,-0.23399999999999999,,-0.76,0.10400000000000009,,-0.257,-0.488
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.08400000000000007,-0.11199999999999999,-0.46099999999999997,,-0.79,0.30600000000000005,,-0.272,-0.16900000000000004
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.1399999999999999,-0.756,-0.44499999999999995,,-0.5589999999999999,-0.379,,-0.835,-0.815
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.07099999999999995,-0.31299999999999994,-0.10999999999999999,,-0.904,-0.376,,-0.43799999999999994,-0.237
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.1339999999999999,-0.27,-0.8200000000000001,,-0.789,0.1439999999999999,,-0.29000000000000004,-0.372
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.006000000000000005,0.030000000000000027,-0.30500000000000005,,0.2569999999999999,-0.354,,-0.5349999999999999,0.014000000000000012
Intensity elasticity to GDP,Literature,"Tcha (2002), b - demand",0.02400000000000002,-0.029000000000000026,-0.133,,-0.385,0.32099999999999995,,-0.16700000000000004,-0.04800000000000004
Intensity elasticity to GDP,Literature,"Tims (1977), a - demand",,,-0.28,,,,,,
Intensity elasticity to GDP,Literature,"Tims (1977), b - demand",,,-0.14081145584725596,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.33899999999999997,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.17400000000000004,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.43500000000000005,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.19199999999999995,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.17800000000000005,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.22099999999999997,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.22099999999999997,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.252,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.10799999999999998,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.17400000000000004,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.08799999999999997,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,0.3700000000000001,,,,,,
Intensity elasticity to GDP,Literature,Wagenhals (1984) - demand,,,-0.5389999999999999,,,,,,
Intensity elasticity to price,Literature,"Fernandez (2018), a - demand",-0.238,-0.593,-0.28,,-0.888,-0.448,,-0.486,-0.355
Intensity elasticity to price,Literature,"Fernandez (2018), b - demand",-0.086,-0.333,-0.202,,-0.099,-0.142,,-0.255,-0.143
Intensity elasticity to price,Literature,"Fernandez (2018), c - demand",0.005,0.029,0.088,,-0.002,-0.043,,-0.03,-0.003
Intensity elasticity to price,Literature,"Fernandez (2018), d - demand",-0.017,0.01,-0.014,,-0.008,-0.061,,-0.067,-0.014
Intensity elasticity to price,Literature,"Fernandez (2018), e - demand",-0.06,-0.07,-0.065,,0.002,-0.102,,-0.156,-0.062
Intensity elasticity to price,Literature,"Fernandez (2018), f - demand",-0.069,-0.086,-0.042,,0.001,-0.081,,-0.245,-0.068
Intensity elasticity to price,Literature,"Pei and Tilton (1999), a - demand",,-0.02,0.02,,0.06,-0.03,,-0.03,0.01
Intensity elasticity to price,Literature,"Pei and Tilton (1999), b - demand",,0.317,0.188,,-0.023,-0.151,,-0.151,0.318
Intensity elasticity to price,Literature,Tcha and Takashina (2002) - demand,-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02
Intensity elasticity to price,Literature,Evans and Lewis (2005) - demand,-0.1322,-0.0765,-0.1177,,-0.1271,-0.1034,,-0.1185,-0.1021
Intensity elasticity to price,Literature,Stuermer (2017) - demand,,-0.773,-0.44,,-0.213,,,-0.112,-0.046
Intensity elasticity to price,Literature,"Fisher and Owen (1981), a - demand",,-0.246,,,,,,,
Intensity elasticity to price,Literature,"Fisher and Owen (1981), b - demand",,-0.3049,,,,,,,
Intensity elasticity to price,Literature,"Gupta (1982), a - demand",,,,,,,,,-0.25
Intensity elasticity to price,Literature,"Gupta (1982), b - demand",,,,,,,,,-0.035
Intensity elasticity to price,Literature,"Gupta (1982), c - demand",,,,,,,,,-0.077
Intensity elasticity to price,Literature,"Gupta (1982), d - demand",,,,,,,,,-0.78
Intensity elasticity to price,Literature,"Gupta (1982), e - demand",,,,,,,,,-0.005
Intensity elasticity to price,Literature,"Gupta (1982), f - demand",,,,,,,,,-0.443
Intensity elasticity to price,Literature,"Chhabra (1979), a - demand",,,,,,,,-0.24,
Intensity elasticity to price,Literature,"Chhabra (1979), b - demand",,,,,,,,-0.3,
Intensity elasticity to price,Literature,"Chhabra (1979), c - demand",,,,,,,,-0.49,
Intensity elasticity to price,Literature,"Banks (1972), a - demand",,,,,,,,-0.55,
Intensity elasticity to price,Literature,"Banks (1972), b - demand",,,,,,,,-1.262,
Intensity elasticity to price,Literature,"Banks (1974), a - demand",,,-0.177,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), b - demand",,,-0.127,,,,,,
