,,Ag,Al,Au,Cu,Ni,Pb,Sn,Steel,Zn
2001-2019,31,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,32,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,33,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,34,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,35,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,36,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,37,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,38,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,39,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,40,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,41,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,42,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,43,-1.000254390596692,-0.7448785678986517,-1.4736757991793548,-1.1468825970672143,-1.6565049405406584,-1.32835022070208,-0.9637973140531906,-1.7259919722632953,-1.3422351368089414
2001-2019,44,-1.000254390596692,-0.7448785678986517,-2.189445042218172,-1.1468825970672143,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,45,-1.000254390596692,-0.7448785678986517,-2.189445042218172,-1.1468825970672143,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,46,-1.624358618881493,-0.7448785678986517,-2.189445042218172,-1.1468825970672143,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,47,-1.624358618881493,-0.7448785678986517,-2.189445042218172,-1.1468825970672143,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,48,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,49,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,50,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.3422351368089414
2001-2019,51,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,52,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,53,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.2417219404139748,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,54,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.306392871020603,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,55,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.306392871020603,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,56,-1.624358618881493,-1.0455620395211234,-2.189445042218172,-1.306392871020603,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,57,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.306392871020603,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,58,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,59,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,60,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,61,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,62,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,63,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,64,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.32835022070208,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,65,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,66,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,67,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,68,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,69,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,70,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,71,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,72,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,73,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,74,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,75,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.7530192448749549,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,76,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,77,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,78,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,79,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3600008144138362,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,80,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,81,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,82,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,83,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,84,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,85,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,86,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,87,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,88,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,89,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,90,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,91,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,92,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,93,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,94,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,95,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,96,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.4382413233709788,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,97,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,98,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,99,-1.624358618881493,-1.285147955666802,-2.189445042218172,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,100,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,101,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,102,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,103,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2464849293344225,-1.7259919722632953,-1.4561198043701429
2001-2019,104,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,105,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,106,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,107,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,108,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,109,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,110,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,111,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,112,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,113,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,114,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,115,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,116,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,117,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,118,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,119,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,120,-1.624358618881493,-1.285147955666802,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,121,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,122,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,123,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,124,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,125,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,126,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,127,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,128,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,129,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,130,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,131,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,132,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,133,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,134,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8760739662325527,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,135,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,136,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.2986062900717543,-1.7259919722632953,-1.4561198043701429
2001-2019,137,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,138,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,139,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,140,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,141,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,142,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,143,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,144,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,145,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
2001-2019,146,-1.624358618881493,-1.5603993438706936,-2.237376728109672,-1.5755336064981351,-1.8988270515328984,-1.3990728793772764,-1.4802924129583197,-1.7259919722632953,-1.4561198043701429
