,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Mine CU elasticity to TCM,Banks (1974),"Unknown, static",,,-0.294,,,,,,,,1953-1968," Primary, Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,"Banks (1974), a - from demand","Ordinary least squares, short run",,,-0.177,,,,,,,12,1953-1968,UK,
Mine CU elasticity to TCM,"Banks (1974), a","Ordinary least squares, short run",,,0.237,,,,,,,17,1948-1967,Canada,
Intensity elasticity to price,"Banks (1974), a - from demand","Ordinary least squares, short run",,,-0.252,,,,,,,11,1953-1968,UK,
Intensity elasticity to price,"Banks (1974), a - from demand","Ordinary least squares, short run",,,-0.253,,,,,,,12,1953-1968,France,
Intensity elasticity to price,"Banks (1974), b - from demand","Ordinary least squares, short run",,,-0.127,,,,,,,12,1953-1968,Germany,
Mine CU elasticity to TCM,"Banks (1974), b","Ordinary least squares, short run",,,0.289,,,,,,,17,1948-1967,Chile,
Intensity elasticity to price,"Banks (1974), b - from demand","Ordinary least squares, short run",,,-0.221,,,,,,,11,1953-1968,Germany,
Intensity elasticity to price,"Banks (1974), c - from demand","Ordinary least squares, short run",,,-0.152,,,,,,,12,1953-1968,France,
Mine CU elasticity to TCM,"Banks (1974), c","Ordinary least squares, short run",,,0.173,,,,,,,16,1948-1967,Zaire,
Intensity elasticity to price,"Banks (1974), c - from demand","Ordinary least squares, long run",,,-0.368,,,,,,,11,1953-1968,UK,
Intensity elasticity to price,"Banks (1974), d - from demand","Ordinary least squares, long run",,,-0.294,,,,,,,11,1953-1968,US,
Mine CU elasticity to TCM,"Banks (1974), d","Ordinary least squares, short run",,,0.542,,,,,,,16,1948-1967,Peru,
Intensity elasticity to price,"Banks (1974), d - from demand","Ordinary least squares, long run",,,-0.421,,,,,,,12,1953-1968,France,
Intensity elasticity to price,"Banks (1974), e - from demand","Ordinary least squares, long run",,,-0.29,,,,,,,12,1953-1968,UK,
Mine CU elasticity to TCM,"Banks (1974), e","Ordinary least squares, short run",,,0.31,,,,,,,16,1948-1967,US,
Intensity elasticity to price,"Banks (1974), e - from demand","Ordinary least squares, long run",,,-0.328,,,,,,,11,1953-1968,Germany,
Intensity elasticity to price,"Banks (1974), f - from demand","Ordinary least squares, long run",,,-0.228,,,,,,,12,1953-1968,Germany,
Mine CU elasticity to TCM,"Banks (1974), f","Ordinary least squares, long run",,,1.16,,,,,,,17,1948-1967,Canada,
Intensity elasticity to price,"Banks (1974), f - from demand","Ordinary least squares, static",,,-0.294,,,,,,,11,1953-1968,US,
Intensity elasticity to price,"Banks (1974), g - from demand","Ordinary least squares, long run",,,-0.21,,,,,,,12,1953-1968,France,
Mine CU elasticity to TCM,"Banks (1974), g","Ordinary least squares, long run",,,1.22,,,,,,,17,1948-1967,Chile,
Intensity elasticity to price,"Banks (1974), g - from demand","Ordinary least squares, static",,,-0.39,,,,,,,13,1953-1968,Italy,
Mine CU elasticity to TCM,"Banks (1974), h","Ordinary least squares, long run",,,0.625,,,,,,,16,1948-1967,Zaire,
Mine CU elasticity to TCM,"Banks (1974), i","Ordinary least squares, long run",,,1.93,,,,,,,16,1948-1967,Peru,
Mine CU elasticity to TCM,"Banks (1974), j","Ordinary least squares, long run",,,0.63,,,,,,,16,1948-1967,US,
Mine cost change per year,Bartos (2007),Annual percent change from US Department of Labor,-2.3,-2.3,-2.3,,-2.3,-2.3,,-2.3,-2.3,,1987-1999,"Labor productivity only, for ""primary metals"" - energy per unit metal recovered rises with ore grade decline",
Mine capital cost ratio with total cash cost,Bhuwalka (2022),"Calculation from S&P Capital IQ, 2016",,,2,,,3,,,,,,,
Intensity elasticity to GDPPC,Blomberg (2000) - from demand,"Unknown, static",,-0.48,,,,,,,,,1983-1997," Secondary, Region: Germany, France, Italy, UK; Comments from Dahl: nan",
Mine CU elasticity to TCM,Blomberg (2000),"Unknown, static",,0.17,,,,,,,,,1983-1997," Secondary, Region: Germany, France, Italy, UK; Comments from Dahl: nan",
Supply elasticity to GDPPC,Blomberg (2000),"Unknown, static",,0.91,,,,,,,,,1983-1997," Secondary, Region: Germany, France, Italy, UK; Comments from Dahl: nan",
Collection elasticity to scrap price,Blomberg (2007),Two stage least squares,,,,,,,,,,50,1983-1997,"Four countries (Germany, France, Italy, UK)",
Collection elasticity to scrap price,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,0.17,,,,,,,,55,1983-1997,"Four countries (Germany, France, Italy, and UK)",Nice description of the secondary aluminum market
Scrap demand elasticity to secondary price,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,0.07,,,,,,,,57,1983-1997,"Four countries (Germany, France, Italy, and UK)",
Scrap price elasticity to scrap SD,Blomberg and Hellmer (2000),Two stage least squares with fixed effects,,-3,,,,,,,,55,1983-1997,"Four countries (Germany, France, Italy, and UK). This value was given without any other information in the text of the article, so the degrees of freedom number is an estimate based on their scrap supply regression. There is no information about statistical significance provided.",
Collection elasticity to scrap price,Blomberg and Soderholm (2009),Two stage least squares,,0.21,,,,,,,,63,1983-2000,"Four countries (Germany, France, Italy, UK)",
Intensity elasticity to price,Bozdogan (1979) - from demand,"Unknown, long run",,,-0.64,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Intensity elasticity to price,Bozdogan (1979) - from demand,"Unknown, short run",,,-0.47,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Bozdogan (1979), a - from demand","Unknown, static",,,0.3,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Bozdogan (1979), b - from demand","Unknown, static",,,0.78,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Ore grade elasticity to COT distribution mean,Calvo et al. (2016),Calculation,,,2.3,,,,,,,,2002-2014,,
Mine cost elasticity to ore grade,Calvo et al. (2016),Ordinary least squares,,,-0.366,-0.275,,,,,-0.786,,2002-2014,Energy consumption elasticity to change in ore grade,
Collection elasticity to scrap price,Carlsen (1980),Two stage least squares,,0.32,,,,,,,,18,1954-1976,,
Intensity elasticity to price,Charles River Associates (1970) - from demand,Unknown,,,-0.21,,,,,,,Unknown,1950-1967,As referenced in Dahl 2019,
Mine CU elasticity to TCM,Charles River Associates (1970),Unknown,,,0.34,,,,,,,14,1950-1967,,
Intensity elasticity to price,Charles River Associates (1971) - from demand,Unknown,,-0.2,,,,,,,,Unknown,Unknown,As referenced in Dahl 2019,
Intensity elasticity to price,Chhabra (1978) - from demand,"Unknown, long run",,,,,,,,0.41,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,Chhabra (1978) - from demand,"Unknown, short run",,,,,,,,0.3,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, long run",,,,,,,,0.91,,,1948-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, long run",,,,,,,,0.7,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean, also price equations, tinplate supply",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, short run",,,,,,,,0.21,,,1948-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,Chhabra (1978),"Unknown, short run",,,,,,,,0.31,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean, also price equations, tinplate supply",
Intensity elasticity to price,"Chhabra (1978), a - from demand","Unknown, long run",,,,,,,,1.6,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), a - from demand","Unknown, short run",,,,,,,,0.37,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), a - from demand","Unknown, static",,,,,,,,0.24,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), a","Unknown, long run",,,,,,,,1.25,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), a","Unknown, short run",,,,,,,,0.6,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), b - from demand","Unknown, long run",,,,,,,,0.15,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), b - from demand","Unknown, short run",,,,,,,,0.11,,,1955-1975," , Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), b - from demand","Unknown, static",,,,,,,,0.13,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), b","Unknown, long run",,,,,,,,1.34,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), b","Unknown, short run",,,,,,,,0.24,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), c - from demand","Unknown, static",,,,,,,,0.11,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), c","Unknown, long run",,,,,,,,0.7,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), c","Unknown, short run",,,,,,,,0.3,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), d - from demand","Unknown, static",,,,,,,,0.18,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), d","Unknown, long run",,,,,,,,2.09,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Mine CU elasticity to TCM,"Chhabra (1978), d","Unknown, short run",,,,,,,,1.11,,,1955-1975," Primary, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1978), e - from demand","Unknown, static",,,,,,,,0.49,,,1955-1975," uses, Region: nan; Comments from Dahl: Elastcomputed@mean",
Intensity elasticity to price,"Chhabra (1979), a - from demand","Ordinary least squares, short run",,,,,,,,-0.24,,15,1955-1975,"For USA, tinplate uses (non-tinplate uses were statistically insignificant)",
Mine CU elasticity to TCM,"Chhabra (1979), a","Ordinary least squares, short run",,,,,,,,0.31,,17,1955-1975,For Malaysia,
Intensity elasticity to price,"Chhabra (1979), b - from demand","Ordinary least squares, short run",,,,,,,,-0.3,,17,1955-1975,"For Western Europe, non-tinplate uses (tinplate uses were statistically insignificant)",
Mine CU elasticity to TCM,"Chhabra (1979), b","Ordinary least squares, short run",,,,,,,,0.64,,15,1955-1975,For Thailand,
Intensity elasticity to price,"Chhabra (1979), c - from demand","Ordinary least squares, short run",,,,,,,,-0.49,,17,1955-1975,"For Japan, non-tinplate uses (tinplate uses were statistically insignificant)",
Mine CU elasticity to TCM,"Chhabra (1979), c","Ordinary least squares, short run",,,,,,,,0.24,,17,1955-1975,For Bolivia,
Mine CU elasticity to TCM,"Chhabra (1979), d","Ordinary least squares, short run",,,,,,,,0.3,,17,1955-1975,For developed countries,
Mine CU elasticity to TCM,"Chhabra (1979), e","Ordinary least squares, short run",,,,,,,,1.11,,18,1955-1975,For rest of world,
Refined price elasticity to SD,"Chhabra (1979), e","Ordinary least squares, long run",,,,,,,,-0.302,,15,1955-1975,,
Mine CU elasticity to TCM,"Chhabra (1979), f","Ordinary least squares, long run",,,,,,,,0.7,,17,1955-1975,For Malaysia,
Mine CU elasticity to TCM,"Chhabra (1979), g","Ordinary least squares, long run",,,,,,,,1.25,,15,1955-1975,For Thailand,
Mine CU elasticity to TCM,"Chhabra (1979), h","Ordinary least squares, long run",,,,,,,,1.34,,17,1955-1975,For Bolivia,
Mine CU elasticity to TCM,"Chhabra (1979), i","Ordinary least squares, long run",,,,,,,,0.7,,17,1955-1975,For developed countries,
Mine CU elasticity to TCM,"Chhabra (1979), j","Ordinary least squares, long run",,,,,,,,2.09,,18,1955-1975,For rest of world,
Mine CU elasticity to TCM,Choe (1990),"Ordinary least squares, short run",,0.117,0.116,,0.109,0.133,,0.032,0.085,23,1963-1989,,
Refined price elasticity to demand,Choe (1990),"Ordinary least squares, short run",,3.846,3.703,,2.795,1.929,,1.308,5.45,23,1963-1989,,
Refined price elasticity to supply,Choe (1990),"Ordinary least squares, short run",,-2.817,-1.39,,-2.934,-0.925,,-0.913,-4.408,23,1963-1989,,
Mine CU elasticity to TCM,Choe (1990),"Unknown, static",,,0.116,,0.109,,,,0.085,,1963?-1989?," , Region: G7?World; Comments from Dahl: also P equations",
Mine CU elasticity to TCM,Choe (1990),"Unknown, static",,0.117,,,,,,,,,1963?-1989?," , Region: G7?World; Comments from Dahl: also p equations",
Collection elasticity to scrap price,"Damuth (1979), a",Two stage least squares,0.365,,,,,,,,,58,1961-1976,"All scrap, includes old and new, quarterly data, as cited in Damuth (2011)",
Collection elasticity to scrap price,"Damuth (1979), b",Two stage least squares,0.833,,,,,,,,,58,1961-1976,"Old scrap, quarterly data, as cited in Damuth (2011)",
Mine CU elasticity to TCM,"Damuth (1979), in Damuth (2011)","Unknown, static",0.833,,,,,,,,,,1961-1976," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Damuth (1979), in Damuth (2011)","Unknown, static",0.365,,,,,,,,,,1961-1976," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Scrap demand elasticity to secondary price,Damuth (2011),Two stage least squares,-0.036,,,,,,,,,94,1985-2009,"All scrap, includes old and new, quarterly data",
Scrap demand elasticity to secondary price,Damuth (2011),Two stage least squares,-0.03,,,,,,,,,94,1985-2009,"Old scrap only, quarterly data",
Intensity elasticity to GDPPC,Damuth (2011) - from demand,"Unknown, static",0.597,,,,,,,,,,1985-2009," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Damuth (2011) - from demand,"Unknown, static",-0.093,,,,,,,,,,1985-2009," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Damuth (2011),"Unknown, static",0.885,,,,,,,,,,1985-2009," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,Damuth (2011),"Unknown, static",0.589,,,,,,,,,,1985-2009," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Collection elasticity to scrap price,"Damuth (2011), a",Two stage least squares,0.589,,,,,,,,,94,1985-2009,"All scrap, includes old and new, quarterly data",
Collection elasticity to scrap price,"Damuth (2011), b",Two stage least squares,0.885,,,,,,,,,94,1985-2009,"Old scrap only, quarterly data",
Mine CU elasticity to TCM,Deadman and Grace (1979),Ordinary least squares,,0.23,,,,,,,,7,1966-1974,"For the UK only, type of regression not specified in the text so ordinary least squares was assumed",
Intensity elasticity to price,Evans and Lewis (2005) - from demand,"Instrumental variables empirical Bayes, long-run",-0.1322,-0.0765,-0.1177,,-0.1271,-0.1034,,-0.1185,-0.1021,25,1969-1999,Iron ore is used for steel here,
Intensity elasticity to GDPPC,Evans and Lewis (2005) - from demand,"Instrumental variables empirical Bayes, long-run",-0.7193,0.0381,-0.2251,,-0.9006,-0.2666,,-1.0018,-0.3221,25,1969-1999,Iron ore is used for steel here,
Intensity elasticity to GDPPC,Fernandez (2018) - from demand,"Unknown, static",0.156,0.291,,,,,,,,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Fernandez (2018) - from demand,"Unknown, short run",0.789,0.367,0.678,,0.876,0.036,,,0.827,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Fernandez (2018) - from demand,"Unknown, short run",,,,,,,,0.754,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,Fernandez (2018) - from demand,"Unknown, static",-0.086,-0.333,,,,,,,,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), a - from demand",OLS with instrumental variable mine supply,-0.238,-0.593,-0.28,,-0.888,-0.448,,-0.486,-0.355,23,1990-2015,Lead was not statistically significant,
Intensity elasticity to GDPPC,"Fernandez (2018), a - from demand",OLS with instrumental variable mine supply,0.201,0.134,0.241,,1.746,0.272,,0.319,-0.115,23,1990-2015,Lead was not statistically significant,
Intensity elasticity to GDPPC,"Fernandez (2018), a - from demand","Unknown, static",0.026,0.06,-0.263,,-0.816,0.265,,-0.407,-0.064,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), a - from demand","Unknown, static",,,,,,,,0.04,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), a - from demand","Unknown, static",,,0.241,,1.746,0.272,,0.319,-0.115,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), a - from demand","Unknown, static",-0.017,0.01,-0.014,,-0.008,-0.061,,,-0.014,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), a - from demand","Unknown, static",,,,,,,,-0.067,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), a - from demand","Unknown, static",,,-0.28,,-0.888,-0.448,,-0.486,-0.355,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), b - from demand",SUR with instrumental variable mine supply,-0.086,-0.333,-0.202,,-0.099,-0.142,,-0.255,-0.143,161,1990-2015,Lead was only statistically significant at the 10.1% confidence level,
Intensity elasticity to GDPPC,"Fernandez (2018), b - from demand",SUR with instrumental variable mine supply,0.156,0.291,0.101,,0.173,-0.055,,-0.101,-0.161,161,1990-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), b - from demand","Unknown, static",0.036,0.031,-0.314,,-0.528,0.239,,-0.273,-0.088,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), b - from demand","Unknown, static",,,,,,,,0.002,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), b - from demand","Unknown, static",,,0.101,,0.173,-0.055,,-0.101,-0.161,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), b - from demand","Unknown, static",0.005,0.029,0.088,,-0.002,-0.043,,,-0.003,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), b - from demand","Unknown, static",,,,,,,,-0.03,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), b - from demand","Unknown, static",,,-0.202,,-0.099,-0.142,,-0.255,-0.143,,1990-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), c - from demand",OLS short-run specification,0.005,0.029,0.088,,-0.002,-0.043,,-0.03,-0.003,52,1960-2015,,Degrees of freedom given by N years - 1 - rolling mean years (3 or 5)
Intensity elasticity to GDPPC,"Fernandez (2018), c - from demand",OLS short-run specification,0.036,0.031,-0.314,,-0.528,0.239,,0.002,-0.088,52,1960-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), c - from demand","Unknown, static",0.026,0.065,-0.29,,-0.562,0.253,,-0.466,-0.114,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), c - from demand","Unknown, static",,,,,,,,0.117,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), c - from demand","Unknown, static",-0.238,-0.593,,,,,,,,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), d - from demand",SUR short-run specification,-0.017,0.01,-0.014,,-0.008,-0.061,,-0.067,-0.014,364,1960-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), d - from demand",SUR short-run specification,0.026,0.06,-0.263,,-0.516,0.265,,0.04,-0.064,364,1960-2015,"zeros indicate lack of statistical significance at the !0% level, while blanks indicate the commodity was not included in the study",
Intensity elasticity to GDPPC,"Fernandez (2018), d - from demand","Unknown, static",0.03,0.04,-0.316,,-0.555,0.231,,-0.931,-0.103,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), d - from demand","Unknown, static",,,,,,,,0.097,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), e - from demand",OLS long-run specification,-0.06,-0.07,-0.065,,0.002,-0.102,,-0.156,-0.062,50,1960-2015,pvalues <0.1,
Intensity elasticity to GDPPC,"Fernandez (2018), e - from demand",OLS long-run specification,0.03,0.04,-0.316,,-0.555,0.231,,0.097,-0.103,50,1960-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), e - from demand","Unknown, static",0.09,-0.175,-0.351,,-0.544,0.17,,0.331,-0.485,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to price,"Fernandez (2018), f - from demand",SUR long-run specification,-0.069,-0.086,-0.042,,0.001,-0.081,,-0.245,-0.068,350,1960-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), f - from demand",SUR long-run specification,0.026,0.065,-0.29,,-0.562,0.253,,0.117,-0.114,350,1960-2015,,
Intensity elasticity to GDPPC,"Fernandez (2018), f - from demand","Unknown, static",0.034,-0.232,-0.309,,-0.252,-0.344,,-0.247,-0.316,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), g - from demand","Unknown, static",0.134,-0.403,-0.419,,-0.707,-0.402,,0.553,-0.627,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), h - from demand","Unknown, static",0.07,-0.609,0.1,,-0.4,0.008,,-1.511,-0.662,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), i - from demand","Unknown, static",0.053,-0.275,-0.098,,-0.309,-0.495,,,-0.802,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), j - from demand","Unknown, static",0.098,-0.352,-0.572,,-0.145,-0.645,,,-0.905,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), k - from demand","Unknown, static",0.168,-0.899,-0.751,,-0.652,-0.619,,,-0.214,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), l - from demand","Unknown, static",0.262,-1.043,-1.306,,-0.84,-1.946,,,-0.588,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fernandez (2018), m - from demand","Unknown, static",0.201,0.134,,,,,,,,,1980-2015," , Region: World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Fisher (1972) - from demand,"Unknown, static",,,-0.3986,,,,,,,,1951-1968," , Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Fisher (1972) - from demand,"Unknown, static",,,-0.5913,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Fisher (1972) - from demand,"Unknown, static",,,-0.0079,,,,,,,,1954-1968," , Region: Japan; Comments from Dahl: nan",
Intensity elasticity to price,Fisher (1972) - from demand,"Unknown, long run",,,-0.924808836,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
Intensity elasticity to price,Fisher (1972) - from demand,"Unknown, short run",,,-0.2177,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
